HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521144604@236202@101238821@1404@101038@201346,OTHER,TAMFLO,RPG LIFE SCIENCES LTD.,TAMSULOSIN CAPSULE 0.4 MG,10,CAPSULE,Non-Scheduled,-1,164.67,16.47,Dec-2025
1521144604@236202@101238821@1404@101038@201346,OTHER,TAMFLO (SUN),SUN PHARMA LABORATORIES LTD.,TAMSULOSIN CAPSULE 0.4 MG,10,CAPSULE,Non-Scheduled,-1,164.67,16.47,Dec-2025
1521144604@236202@101238821@1404@101038@201346,OTHER,DYNAPRES,TORRENT PHARMACEUTICALS LTD.,TAMSULOSIN CAPSULE 0.4 MG,30,CAPSULE,Non-Scheduled,-1,512.80,17.09,Dec-2025
1521144604@236202@101238821@1404@101038@201346,OTHER,TAMLOCEPT,LUPIN LTD,TAMSULOSIN CAPSULE 0.4 MG,15,CAPSULE,Non-Scheduled,-1,315.85,21.06,Dec-2025
1521144604@236202@101238821@1404@101038@201346,OTHER,DUOFLO,CIPLA LTD.,TAMSULOSIN CAPSULE 0.4 MG,10,CAPSULE,Non-Scheduled,-1,584.59,58.46,Dec-2025
1521158254@273900@101244734@1404@101006@201346,MAIN,TAMPRES 0.4 MG TABLET 10,OLCARE LTD,TAMSULOSIN TABLET 0.4 MG,10 TABLET,TABLET,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,URIWELL,WONSET HEALTH CARE PRIVATE LIMITED,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,49.00,4.90,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMDOSIN,CORONA,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,70.00,7.00,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,ORIJET,KIOSENCE HEALTH CARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,106.11,7.07,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMOCAS,FIDUS HEALTHCARE,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,73.13,7.31,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMBAT,SUNBERRY LIFESCIENCES PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,74.06,7.41,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,URIMAB,WONSET HEALTH CARE PRIVATE LIMITED,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,112.50,7.50,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMOPRES (EAST),EAST WEST PHARMA,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,77.00,7.70,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,EUFLOW,SPECTRA THERAPEUTICS PVT. LTD.,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,77.16,7.72,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMSTREAM,AKESISS PHARMA (P) LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,77.81,7.78,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,URIFLO,EL-DORADO BIO-TECH PVT LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,89.16,8.92,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMZEST,INNOVATIVE PHARMACEUTICALS,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,90.00,9.00,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TASMULINE,STERIS HEALTHCARE,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,90.18,9.02,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,CONSISTAM,SALUD CARE (I) PVT LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,90.46,9.05,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TEMSOLIN,THYONE HEALTH CARE,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,90.94,9.09,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMDOSIN,CORONA,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,146.72,9.78,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,URISURGE,OBSURGE BIOTECH LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,99.83,9.98,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,FLODART,ARISTO PHARMACEUTICALS PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,101.57,10.16,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMSORID,SANATRA HEALTH CARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,103.13,10.31,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,URINICE,VOTARY LABORATORIES (I) LTD.,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,154.69,10.31,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,REFLOW,TAS MED (INDIA) PRIVATE LTD.,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,105.10,10.51,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,FLOKIND,MANKIND PHARMACEUTICALS LTD.,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,107.76,10.78,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,STADFLOW PR,STADMED PVT. LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,112.50,11.25,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMSUHEAL,HEALING PHARMA INDIA PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,113.43,11.34,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,ORIJET,KIOSENCE HEALTH CARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,115.70,11.57,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMSUHENZ,LA RENON HEALTHCARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,116.00,11.60,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMSUFINE,MOREPEN LABORATORIES LIMITED,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,118.00,11.80,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMGRESS,LA RENON HEALTHCARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,130.31,13.03,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,GERITAM,SEPTALYST LIFESCIENCES PVT LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,131.72,13.17,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TASULIN,IPCA LABORATORIES PVT LTD.,TAMSULOSIN TABLET 0.4 MG,14,TABLET,Non-Scheduled,-1,185.48,13.25,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,URONEX,MICRO LABS LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,133.10,13.31,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,VELTAM,INTAS PHARMACEUTICALS LTD,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,210.94,14.06,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TEMSUNOL,KNOLL HEALTHCARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,144.38,14.44,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,URITIN,OVERSEAS HEALTHCARE PVT LTD.,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,152.53,15.25,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,CONTIFLO ICON,RANBAXY LABORATORIES LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,155.63,15.56,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMSIFLO,VASU ORGANICS PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,160.88,16.09,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMSUKEM,ALKEM LABORATORIES LTD.,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,267.15,17.81,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMSIN,WALTER BUSHNELL,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,307.39,20.49,Dec-2025
1521158254@273900@101244734@1404@101006@201346,OTHER,TAMCONTIN,MODI MUNDI PHARMA PVT LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,304.69,30.47,Dec-2025
1521017299@241867@101113104@1404@101006@201346,MAIN,TAMSIFLO 0.4 MG TABLET 10,VASU ORGANICS PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10 TABLET,TABLET,Non-Scheduled,-1,160.88,16.09,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMPRES,OLCARE LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,URIWELL,WONSET HEALTH CARE PRIVATE LIMITED,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,49.00,4.90,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMDOSIN,CORONA,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,70.00,7.00,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,ORIJET,KIOSENCE HEALTH CARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,106.11,7.07,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMOCAS,FIDUS HEALTHCARE,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,73.13,7.31,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMBAT,SUNBERRY LIFESCIENCES PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,74.06,7.41,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,URIMAB,WONSET HEALTH CARE PRIVATE LIMITED,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,112.50,7.50,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMOPRES (EAST),EAST WEST PHARMA,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,77.00,7.70,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,EUFLOW,SPECTRA THERAPEUTICS PVT. LTD.,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,77.16,7.72,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMSTREAM,AKESISS PHARMA (P) LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,77.81,7.78,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,URIFLO,EL-DORADO BIO-TECH PVT LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,89.16,8.92,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMZEST,INNOVATIVE PHARMACEUTICALS,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,90.00,9.00,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TASMULINE,STERIS HEALTHCARE,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,90.18,9.02,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,CONSISTAM,SALUD CARE (I) PVT LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,90.46,9.05,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TEMSOLIN,THYONE HEALTH CARE,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,90.94,9.09,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMDOSIN,CORONA,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,146.72,9.78,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,URISURGE,OBSURGE BIOTECH LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,99.83,9.98,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,FLODART,ARISTO PHARMACEUTICALS PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,101.57,10.16,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMSORID,SANATRA HEALTH CARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,103.13,10.31,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,URINICE,VOTARY LABORATORIES (I) LTD.,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,154.69,10.31,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,REFLOW,TAS MED (INDIA) PRIVATE LTD.,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,105.10,10.51,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,FLOKIND,MANKIND PHARMACEUTICALS LTD.,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,107.76,10.78,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,STADFLOW PR,STADMED PVT. LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,112.50,11.25,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMSUHEAL,HEALING PHARMA INDIA PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,113.43,11.34,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,ORIJET,KIOSENCE HEALTH CARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,115.70,11.57,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMSUHENZ,LA RENON HEALTHCARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,116.00,11.60,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMSUFINE,MOREPEN LABORATORIES LIMITED,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,118.00,11.80,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMGRESS,LA RENON HEALTHCARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,130.31,13.03,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,GERITAM,SEPTALYST LIFESCIENCES PVT LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,131.72,13.17,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TASULIN,IPCA LABORATORIES PVT LTD.,TAMSULOSIN TABLET 0.4 MG,14,TABLET,Non-Scheduled,-1,185.48,13.25,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,URONEX,MICRO LABS LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,133.10,13.31,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,VELTAM,INTAS PHARMACEUTICALS LTD,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,210.94,14.06,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TEMSUNOL,KNOLL HEALTHCARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,144.38,14.44,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,URITIN,OVERSEAS HEALTHCARE PVT LTD.,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,152.53,15.25,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,CONTIFLO ICON,RANBAXY LABORATORIES LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,155.63,15.56,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMSUKEM,ALKEM LABORATORIES LTD.,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,267.15,17.81,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMSIN,WALTER BUSHNELL,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,307.39,20.49,Dec-2025
1521017299@241867@101113104@1404@101006@201346,OTHER,TAMCONTIN,MODI MUNDI PHARMA PVT LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,304.69,30.47,Dec-2025
1521075787@216354@101176271@1404@101006@201346,MAIN,TAMSIN 0.4 MG TABLET 15,WALTER BUSHNELL,TAMSULOSIN TABLET 0.4 MG,15 TABLET,TABLET,Non-Scheduled,-1,307.39,20.49,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMPRES,OLCARE LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,URIWELL,WONSET HEALTH CARE PRIVATE LIMITED,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,49.00,4.90,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMDOSIN,CORONA,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,70.00,7.00,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,ORIJET,KIOSENCE HEALTH CARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,106.11,7.07,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMOCAS,FIDUS HEALTHCARE,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,73.13,7.31,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMBAT,SUNBERRY LIFESCIENCES PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,74.06,7.41,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,URIMAB,WONSET HEALTH CARE PRIVATE LIMITED,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,112.50,7.50,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMOPRES (EAST),EAST WEST PHARMA,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,77.00,7.70,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,EUFLOW,SPECTRA THERAPEUTICS PVT. LTD.,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,77.16,7.72,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMSTREAM,AKESISS PHARMA (P) LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,77.81,7.78,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,URIFLO,EL-DORADO BIO-TECH PVT LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,89.16,8.92,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMZEST,INNOVATIVE PHARMACEUTICALS,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,90.00,9.00,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TASMULINE,STERIS HEALTHCARE,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,90.18,9.02,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,CONSISTAM,SALUD CARE (I) PVT LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,90.46,9.05,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TEMSOLIN,THYONE HEALTH CARE,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,90.94,9.09,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMDOSIN,CORONA,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,146.72,9.78,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,URISURGE,OBSURGE BIOTECH LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,99.83,9.98,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,FLODART,ARISTO PHARMACEUTICALS PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,101.57,10.16,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMSORID,SANATRA HEALTH CARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,103.13,10.31,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,URINICE,VOTARY LABORATORIES (I) LTD.,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,154.69,10.31,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,REFLOW,TAS MED (INDIA) PRIVATE LTD.,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,105.10,10.51,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,FLOKIND,MANKIND PHARMACEUTICALS LTD.,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,107.76,10.78,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,STADFLOW PR,STADMED PVT. LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,112.50,11.25,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMSUHEAL,HEALING PHARMA INDIA PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,113.43,11.34,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,ORIJET,KIOSENCE HEALTH CARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,115.70,11.57,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMSUHENZ,LA RENON HEALTHCARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,116.00,11.60,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMSUFINE,MOREPEN LABORATORIES LIMITED,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,118.00,11.80,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMGRESS,LA RENON HEALTHCARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,130.31,13.03,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,GERITAM,SEPTALYST LIFESCIENCES PVT LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,131.72,13.17,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TASULIN,IPCA LABORATORIES PVT LTD.,TAMSULOSIN TABLET 0.4 MG,14,TABLET,Non-Scheduled,-1,185.48,13.25,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,URONEX,MICRO LABS LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,133.10,13.31,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,VELTAM,INTAS PHARMACEUTICALS LTD,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,210.94,14.06,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TEMSUNOL,KNOLL HEALTHCARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,144.38,14.44,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,URITIN,OVERSEAS HEALTHCARE PVT LTD.,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,152.53,15.25,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,CONTIFLO ICON,RANBAXY LABORATORIES LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,155.63,15.56,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMSIFLO,VASU ORGANICS PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,160.88,16.09,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMSUKEM,ALKEM LABORATORIES LTD.,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,267.15,17.81,Dec-2025
1521075787@216354@101176271@1404@101006@201346,OTHER,TAMCONTIN,MODI MUNDI PHARMA PVT LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,304.69,30.47,Dec-2025
1521037764@220162@101116249@1404@101006@201346,MAIN,TAMSORID 0.4 MG TABLET 10,SANATRA HEALTH CARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10 TABLET,TABLET,Non-Scheduled,-1,103.13,10.31,Dec-2025
1521037764@220162@101116249@1404@101006@201346,OTHER,TAMPRES,OLCARE LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,45.00,4.50,Dec-2025
1521037764@220162@101116249@1404@101006@201346,OTHER,URIWELL,WONSET HEALTH CARE PRIVATE LIMITED,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,49.00,4.90,Dec-2025
1521037764@220162@101116249@1404@101006@201346,OTHER,TAMDOSIN,CORONA,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,70.00,7.00,Dec-2025
1521037764@220162@101116249@1404@101006@201346,OTHER,ORIJET,KIOSENCE HEALTH CARE PVT.LTD,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,106.11,7.07,Dec-2025
1521037764@220162@101116249@1404@101006@201346,OTHER,TAMOCAS,FIDUS HEALTHCARE,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,73.13,7.31,Dec-2025
1521037764@220162@101116249@1404@101006@201346,OTHER,TAMBAT,SUNBERRY LIFESCIENCES PVT.LTD,TAMSULOSIN TABLET 0.4 MG,10,TABLET,Non-Scheduled,-1,74.06,7.41,Dec-2025
1521037764@220162@101116249@1404@101006@201346,OTHER,URIMAB,WONSET HEALTH CARE PRIVATE LIMITED,TAMSULOSIN TABLET 0.4 MG,15,TABLET,Non-Scheduled,-1,112.50,7.50,Dec-2025
