HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521097522@349142@101163277@3378@101006@202229,OTHER,TEXY,TRITON HEALTH CARE PVT LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,12.45,1.25,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,THP,GENTECH HEALTCARE LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,13.00,1.30,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,MATCALM,MATTEO HEALTHCARE PVT.LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,PARALES,PSYCORMEDIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,TREMTANE,MATIAS HEALTHCARE PVT.LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,MAPHYL,K.C LABORATORIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.16,1.42,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,ECITANE,LINUX LABORATORIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.30,1.43,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,TREMNIL,SHINE PHARMACEUTICALS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.25,1.43,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,LAHEXY,LA PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.39,1.44,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,TRIKOTAME,TRIKO PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.44,1.44,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,TRIXYL,A.N.PHARMACIA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.38,1.44,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,TRYHP,SIGMUND PROMEDICA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.40,1.44,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,DYSKINIL,CRESCENT FORMULATIONS PVT. LTD.,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.53,1.45,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,HEKSI,KIVI LABS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.52,1.45,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,PACITANE,VIATRIS,TRIHEXYPHENIDYL TABLET 2 MG,30,TABLET,Scheduled,1.39,43.49,1.45,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,PARKINTA,ARINNA LIFESCIENCES PVT. LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.52,1.45,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,RELIHEXY,RELIANCE FORMULATION PVT LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.53,1.45,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,TRIHEXY,GUJARAT TERCE LABORATORIES LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.50,1.45,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,ANTICHOL,CONSERN PHARMA (P) LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.60,1.46,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,BEXOL,INTAS PHARMACEUTICALS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.60,1.46,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,HEXYLENT,TALENT INDIA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.63,1.46,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,PARNIL,D.D PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.59,1.46,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,RINI,OXFORD PHARMACEUTICALS PVT LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.59,1.46,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,TRI EX,TAS MED (INDIA) PRIVATE LTD.,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,15.02,1.50,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,TRIHEXY (EAST WEST),EAST WEST PHARMA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,15.20,1.52,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,AP,OLCARE LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,55.00,5.50,Dec-2025
1521097522@349142@101163277@3378@101006@202229,OTHER,PARKITANE,SUN PHARMA LABORATORIES LTD.,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,164.06,16.41,Dec-2025
1521060324@198987@101163279@3378@101006@202229,MAIN,PARKINTA 2 MG TABLET 10,ARINNA LIFESCIENCES PVT. LTD,TRIHEXYPHENIDYL TABLET 2 MG,10 TABLET,TABLET,Scheduled,1.39,14.52,1.45,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,TEXY,TRITON HEALTH CARE PVT LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,12.45,1.25,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,THP,GENTECH HEALTCARE LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,13.00,1.30,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,PARKIN,MICRO LABS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,13.66,1.37,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,MATCALM,MATTEO HEALTHCARE PVT.LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,PARALES,PSYCORMEDIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,TREMTANE,MATIAS HEALTHCARE PVT.LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,MAPHYL,K.C LABORATORIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.16,1.42,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,ECITANE,LINUX LABORATORIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.30,1.43,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,TREMNIL,SHINE PHARMACEUTICALS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.25,1.43,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,LAHEXY,LA PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.39,1.44,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,TRIKOTAME,TRIKO PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.44,1.44,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,TRIXYL,A.N.PHARMACIA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.38,1.44,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,TRYHP,SIGMUND PROMEDICA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.40,1.44,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,DYSKINIL,CRESCENT FORMULATIONS PVT. LTD.,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.53,1.45,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,HEKSI,KIVI LABS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.52,1.45,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,PACITANE,VIATRIS,TRIHEXYPHENIDYL TABLET 2 MG,30,TABLET,Scheduled,1.39,43.49,1.45,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,PARKIN,MICRO LABS LTD,TRIHEXYPHENIDYL TABLET 2 MG,15,TABLET,Scheduled,1.39,21.80,1.45,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,RELIHEXY,RELIANCE FORMULATION PVT LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.53,1.45,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,TRIHEXY,GUJARAT TERCE LABORATORIES LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.50,1.45,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,ANTICHOL,CONSERN PHARMA (P) LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.60,1.46,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,BEXOL,INTAS PHARMACEUTICALS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.60,1.46,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,HEXYLENT,TALENT INDIA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.63,1.46,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,PARNIL,D.D PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.59,1.46,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,RINI,OXFORD PHARMACEUTICALS PVT LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.59,1.46,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,TRI EX,TAS MED (INDIA) PRIVATE LTD.,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,15.02,1.50,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,TRIHEXY (EAST WEST),EAST WEST PHARMA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,15.20,1.52,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,AP,OLCARE LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,55.00,5.50,Dec-2025
1521060324@198987@101163279@3378@101006@202229,OTHER,PARKITANE,SUN PHARMA LABORATORIES LTD.,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,164.06,16.41,Dec-2025
1521060326@29972@101163280@3378@101006@202229,MAIN,PARKITANE 2 MG TABLET 10,SUN PHARMA LABORATORIES LTD.,TRIHEXYPHENIDYL TABLET 2 MG,10 TABLET,TABLET,Scheduled,1.39,164.06,16.41,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,TEXY,TRITON HEALTH CARE PVT LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,12.45,1.25,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,THP,GENTECH HEALTCARE LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,13.00,1.30,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,PARKIN,MICRO LABS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,13.66,1.37,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,MATCALM,MATTEO HEALTHCARE PVT.LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,PARALES,PSYCORMEDIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,TREMTANE,MATIAS HEALTHCARE PVT.LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,MAPHYL,K.C LABORATORIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.16,1.42,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,ECITANE,LINUX LABORATORIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.30,1.43,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,TREMNIL,SHINE PHARMACEUTICALS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.25,1.43,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,LAHEXY,LA PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.39,1.44,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,TRIKOTAME,TRIKO PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.44,1.44,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,TRIXYL,A.N.PHARMACIA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.38,1.44,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,TRYHP,SIGMUND PROMEDICA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.40,1.44,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,DYSKINIL,CRESCENT FORMULATIONS PVT. LTD.,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.53,1.45,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,HEKSI,KIVI LABS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.52,1.45,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,PACITANE,VIATRIS,TRIHEXYPHENIDYL TABLET 2 MG,30,TABLET,Scheduled,1.39,43.49,1.45,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,PARKIN,MICRO LABS LTD,TRIHEXYPHENIDYL TABLET 2 MG,15,TABLET,Scheduled,1.39,21.80,1.45,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,PARKINTA,ARINNA LIFESCIENCES PVT. LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.52,1.45,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,RELIHEXY,RELIANCE FORMULATION PVT LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.53,1.45,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,TRIHEXY,GUJARAT TERCE LABORATORIES LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.50,1.45,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,ANTICHOL,CONSERN PHARMA (P) LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.60,1.46,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,BEXOL,INTAS PHARMACEUTICALS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.60,1.46,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,HEXYLENT,TALENT INDIA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.63,1.46,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,PARNIL,D.D PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.59,1.46,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,RINI,OXFORD PHARMACEUTICALS PVT LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.59,1.46,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,TRI EX,TAS MED (INDIA) PRIVATE LTD.,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,15.02,1.50,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,TRIHEXY (EAST WEST),EAST WEST PHARMA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,15.20,1.52,Dec-2025
1521060326@29972@101163280@3378@101006@202229,OTHER,AP,OLCARE LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,55.00,5.50,Dec-2025
1521060341@112736@101163295@3378@101006@202229,MAIN,PARNIL 2 MG TABLET 10,D.D PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 2 MG,10 TABLET,TABLET,Scheduled,1.39,14.59,1.46,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,TEXY,TRITON HEALTH CARE PVT LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,12.45,1.25,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,THP,GENTECH HEALTCARE LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,13.00,1.30,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,PARKIN,MICRO LABS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,13.66,1.37,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,MATCALM,MATTEO HEALTHCARE PVT.LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,PARALES,PSYCORMEDIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,TREMTANE,MATIAS HEALTHCARE PVT.LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,MAPHYL,K.C LABORATORIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.16,1.42,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,ECITANE,LINUX LABORATORIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.30,1.43,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,TREMNIL,SHINE PHARMACEUTICALS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.25,1.43,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,LAHEXY,LA PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.39,1.44,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,TRIKOTAME,TRIKO PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.44,1.44,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,TRIXYL,A.N.PHARMACIA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.38,1.44,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,TRYHP,SIGMUND PROMEDICA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.40,1.44,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,DYSKINIL,CRESCENT FORMULATIONS PVT. LTD.,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.53,1.45,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,HEKSI,KIVI LABS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.52,1.45,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,PACITANE,VIATRIS,TRIHEXYPHENIDYL TABLET 2 MG,30,TABLET,Scheduled,1.39,43.49,1.45,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,PARKIN,MICRO LABS LTD,TRIHEXYPHENIDYL TABLET 2 MG,15,TABLET,Scheduled,1.39,21.80,1.45,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,PARKINTA,ARINNA LIFESCIENCES PVT. LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.52,1.45,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,RELIHEXY,RELIANCE FORMULATION PVT LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.53,1.45,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,TRIHEXY,GUJARAT TERCE LABORATORIES LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.50,1.45,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,ANTICHOL,CONSERN PHARMA (P) LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.60,1.46,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,BEXOL,INTAS PHARMACEUTICALS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.60,1.46,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,HEXYLENT,TALENT INDIA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.63,1.46,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,RINI,OXFORD PHARMACEUTICALS PVT LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.59,1.46,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,TRI EX,TAS MED (INDIA) PRIVATE LTD.,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,15.02,1.50,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,TRIHEXY (EAST WEST),EAST WEST PHARMA,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,15.20,1.52,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,AP,OLCARE LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,55.00,5.50,Dec-2025
1521060341@112736@101163295@3378@101006@202229,OTHER,PARKITANE,SUN PHARMA LABORATORIES LTD.,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,164.06,16.41,Dec-2025
1521060342@112739@101163295@3854@101006@202229,MAIN,PARNIL 5 MG TABLET 10,D.D PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 5 MG,10 TABLET,TABLET,Non-Scheduled,-1,36.09,3.61,Dec-2025
1521060342@112739@101163295@3854@101006@202229,OTHER,RINI,OXFORD PHARMACEUTICALS PVT LTD,TRIHEXYPHENIDYL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,15.00,1.50,Dec-2025
1521060342@112739@101163295@3854@101006@202229,OTHER,TRYHP,SIGMUND PROMEDICA,TRIHEXYPHENIDYL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,36.30,3.63,Dec-2025
1521060342@112739@101163295@3854@101006@202229,OTHER,HEKSI,KIVI LABS LTD,TRIHEXYPHENIDYL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,36.70,3.67,Dec-2025
1521060342@112739@101163295@3854@101006@202229,OTHER,TRIKOTAME,TRIKO PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,42.19,4.22,Dec-2025
1521060342@112739@101163295@3854@101006@202229,OTHER,RELIHEXY,RELIANCE FORMULATION PVT LTD,TRIHEXYPHENIDYL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,46.40,4.64,Dec-2025
1521060342@112739@101163295@3854@101006@202229,OTHER,MOVAHEXY,MOVA PHARMACEUTICALS PVT LTD,TRIHEXYPHENIDYL TABLET 5 MG,10,TABLET,Non-Scheduled,-1,70.31,7.03,Dec-2025
1521067431@32783@101169906@3378@101006@202229,MAIN,RELIHEXY 2 MG TABLET 10,RELIANCE FORMULATION PVT LTD,TRIHEXYPHENIDYL TABLET 2 MG,10 TABLET,TABLET,Scheduled,1.39,14.53,1.45,Dec-2025
1521067431@32783@101169906@3378@101006@202229,OTHER,TEXY,TRITON HEALTH CARE PVT LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,12.45,1.25,Dec-2025
1521067431@32783@101169906@3378@101006@202229,OTHER,THP,GENTECH HEALTCARE LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,13.00,1.30,Dec-2025
1521067431@32783@101169906@3378@101006@202229,OTHER,PARKIN,MICRO LABS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,13.66,1.37,Dec-2025
1521067431@32783@101169906@3378@101006@202229,OTHER,MATCALM,MATTEO HEALTHCARE PVT.LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521067431@32783@101169906@3378@101006@202229,OTHER,PARALES,PSYCORMEDIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521067431@32783@101169906@3378@101006@202229,OTHER,TREMTANE,MATIAS HEALTHCARE PVT.LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.06,1.41,Dec-2025
1521067431@32783@101169906@3378@101006@202229,OTHER,MAPHYL,K.C LABORATORIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.16,1.42,Dec-2025
1521067431@32783@101169906@3378@101006@202229,OTHER,ECITANE,LINUX LABORATORIES,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.30,1.43,Dec-2025
1521067431@32783@101169906@3378@101006@202229,OTHER,TREMNIL,SHINE PHARMACEUTICALS LTD,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.25,1.43,Dec-2025
1521067431@32783@101169906@3378@101006@202229,OTHER,LAHEXY,LA PHARMACEUTICALS,TRIHEXYPHENIDYL TABLET 2 MG,10,TABLET,Scheduled,1.39,14.39,1.44,Dec-2025
