HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521081304@76021@101181942@3755@101068@201580,OTHER,VANCOGRAM,ZYDUS HEALTHCARE LTD.,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,339.31,339.31,Dec-2025
1521081306@157633@101181942@3755@101006@201580,MAIN,VANLID 500 MG TABLET 10,CIPLA LTD.,VANCOMYCIN TABLET 500 MG,10 TABLET,TABLET,Non-Scheduled,-1,339.32,33.93,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,MAIN,VANOGARD 500 MG INJECTION 1,CONCORD BIOTECH LTD,VANCOMYCIN INJECTION 500 MG,1 INJECTION,INJECTION,Scheduled,323.16,333.49,333.49,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,VANACIN CP,CHANDRA BHAGAT PHARMA PVT. LTD.,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,112.50,11.25,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,G VANC,GLAND PHARMA LIMITED,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,272.00,27.20,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,KABIMYCIN,FRESENIUS KABI INDIA PVT LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,272.73,27.27,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,VANCRESIN,AKUMENTIS HEALTHCARE LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,297.44,29.74,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,VANCOTECH CP,UNITED BIOTECH (P) LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,328.00,32.80,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,VANSAFE-CP,VHB LIFE SCIENCES LIMITED,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,332.00,33.20,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,VANKING,NEON LABORATORIES LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,339.00,33.90,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,VANCOGEN,ALKEM LABORATORIES LTD.,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,339.30,33.93,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,VANLID,CIPLA LTD.,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,339.32,33.93,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,VANCOTROY,TROIKAA PHARMACEUTICALS LTD,VANCOMYCIN INJECTION 500 MG,5,INJECTION,Scheduled,323.16,339.19,67.84,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,VANTOX CP,SAMARTH LIFE SCIENCES PVT LTD,VANCOMYCIN INJECTION 500 MG,2,INJECTION,Scheduled,323.16,338.79,169.40,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,ESTAPH,HETERO HEALTHCARE LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,260.00,260.00,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,VANCOSA,ZYPHARS PHARMACEUTICS PVT. LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,267.40,267.40,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,LEDOVANC,CELON LABS,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,294.00,294.00,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,VENBRUTA,MANKIND PHARMACEUTICALS LTD.,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,297.44,297.44,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,CP VAN,FUSION HEALTHCARE PVT LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,299.00,299.00,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,GUFIVAN,GUFIC BIOSCIENCE LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,339.29,339.29,Dec-2025
1521160880@9910828087@101248189@3755@101068@201580,OTHER,VANCOGRAM,ZYDUS HEALTHCARE LTD.,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,339.31,339.31,Dec-2025
1521081308@76789@101181945@1642@101068@201580,MAIN,VANSAFE-CP 1000 MG INJECTION 10 ML,VHB LIFE SCIENCES LIMITED,VANCOMYCIN INJECTION 1000 MG,10 ML INJECTION,INJECTION,Scheduled,478.44,481.00,48.10,Dec-2025
1521081308@76789@101181945@1642@101068@201580,OTHER,VANACIN CP,CHANDRA BHAGAT PHARMA PVT. LTD.,VANCOMYCIN INJECTION 1000 MG,20,INJECTION,Scheduled,478.44,700.00,35.00,Dec-2025
1521081308@76789@101181945@1642@101068@201580,OTHER,VANKING,NEON LABORATORIES LTD,VANCOMYCIN INJECTION 1000 MG,10,INJECTION,Scheduled,478.44,502.00,50.20,Dec-2025
1521081308@76789@101181945@1642@101068@201580,OTHER,VANCOSA,ZYPHARS PHARMACEUTICS PVT. LTD,VANCOMYCIN INJECTION 1000 MG,10,INJECTION,Scheduled,478.44,680.00,68.00,Dec-2025
1521081308@76789@101181945@1642@101068@201580,OTHER,LEDOVANC,CELON LABS,VANCOMYCIN INJECTION 1000 MG,1,INJECTION,Scheduled,478.44,418.75,418.75,Dec-2025
1521081308@76789@101181945@1642@101068@201580,OTHER,CP VAN,FUSION HEALTHCARE PVT LTD,VANCOMYCIN INJECTION 1000 MG,1,INJECTION,Scheduled,478.44,431.42,431.42,Dec-2025
1521081308@76789@101181945@1642@101068@201580,OTHER,ESTAPH,HETERO HEALTHCARE LTD,VANCOMYCIN INJECTION 1000 MG,1,INJECTION,Scheduled,478.44,436.51,436.51,Dec-2025
1521081308@76789@101181945@1642@101068@201580,OTHER,GUFIVAN,GUFIC BIOSCIENCE LTD,VANCOMYCIN INJECTION 1000 MG,1,INJECTION,Scheduled,478.44,500.00,500.00,Dec-2025
1521081308@76789@101181945@1642@101068@201580,OTHER,VANTOX CP,SAMARTH LIFE SCIENCES PVT LTD,VANCOMYCIN INJECTION 1000 MG,1,INJECTION,Scheduled,478.44,502.33,502.33,Dec-2025
1521081308@76789@101181945@1642@101068@201580,OTHER,VANCOGRAM,ZYDUS HEALTHCARE LTD.,VANCOMYCIN INJECTION 1000 MG,1,INJECTION,Scheduled,478.44,502.36,502.36,Dec-2025
1521081308@76789@101181945@1642@101068@201580,OTHER,MEGO (GUFIC),GUFIC BIOSCIENCE LTD,VANCOMYCIN INJECTION 1000 MG,1,INJECTION,Scheduled,478.44,681.68,681.68,Dec-2025
1521081309@76790@101181945@3755@101068@201580,MAIN,VANSAFE-CP 500 MG INJECTION 10 ML,VHB LIFE SCIENCES LIMITED,VANCOMYCIN INJECTION 500 MG,10 ML INJECTION,INJECTION,Scheduled,323.16,332.00,33.20,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,VANACIN CP,CHANDRA BHAGAT PHARMA PVT. LTD.,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,112.50,11.25,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,G VANC,GLAND PHARMA LIMITED,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,272.00,27.20,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,KABIMYCIN,FRESENIUS KABI INDIA PVT LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,272.73,27.27,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,VANCRESIN,AKUMENTIS HEALTHCARE LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,297.44,29.74,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,VANCOTECH CP,UNITED BIOTECH (P) LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,328.00,32.80,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,VANKING,NEON LABORATORIES LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,339.00,33.90,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,VANCOGEN,ALKEM LABORATORIES LTD.,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,339.30,33.93,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,VANLID,CIPLA LTD.,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,339.32,33.93,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,VANCOTROY,TROIKAA PHARMACEUTICALS LTD,VANCOMYCIN INJECTION 500 MG,5,INJECTION,Scheduled,323.16,339.19,67.84,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,VANTOX CP,SAMARTH LIFE SCIENCES PVT LTD,VANCOMYCIN INJECTION 500 MG,2,INJECTION,Scheduled,323.16,338.79,169.40,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,ESTAPH,HETERO HEALTHCARE LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,260.00,260.00,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,VANCOSA,ZYPHARS PHARMACEUTICS PVT. LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,267.40,267.40,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,LEDOVANC,CELON LABS,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,294.00,294.00,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,VENBRUTA,MANKIND PHARMACEUTICALS LTD.,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,297.44,297.44,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,CP VAN,FUSION HEALTHCARE PVT LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,299.00,299.00,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,VANOGARD,CONCORD BIOTECH LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,333.49,333.49,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,GUFIVAN,GUFIC BIOSCIENCE LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,339.29,339.29,Dec-2025
1521081309@76790@101181945@3755@101068@201580,OTHER,VANCOGRAM,ZYDUS HEALTHCARE LTD.,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,339.31,339.31,Dec-2025
1521081320@198267@101181958@1642@101068@201580,MAIN,VANTOX CP 1000 MG INJECTION 1,SAMARTH LIFE SCIENCES PVT LTD,VANCOMYCIN INJECTION 1000 MG,1 INJECTION,INJECTION,Scheduled,478.44,502.33,502.33,Dec-2025
1521081320@198267@101181958@1642@101068@201580,OTHER,VANACIN CP,CHANDRA BHAGAT PHARMA PVT. LTD.,VANCOMYCIN INJECTION 1000 MG,20,INJECTION,Scheduled,478.44,700.00,35.00,Dec-2025
1521081320@198267@101181958@1642@101068@201580,OTHER,VANSAFE-CP,VHB LIFE SCIENCES LIMITED,VANCOMYCIN INJECTION 1000 MG,10,INJECTION,Scheduled,478.44,481.00,48.10,Dec-2025
1521081320@198267@101181958@1642@101068@201580,OTHER,VANKING,NEON LABORATORIES LTD,VANCOMYCIN INJECTION 1000 MG,10,INJECTION,Scheduled,478.44,502.00,50.20,Dec-2025
1521081320@198267@101181958@1642@101068@201580,OTHER,VANCOSA,ZYPHARS PHARMACEUTICS PVT. LTD,VANCOMYCIN INJECTION 1000 MG,10,INJECTION,Scheduled,478.44,680.00,68.00,Dec-2025
1521081320@198267@101181958@1642@101068@201580,OTHER,LEDOVANC,CELON LABS,VANCOMYCIN INJECTION 1000 MG,1,INJECTION,Scheduled,478.44,418.75,418.75,Dec-2025
1521081320@198267@101181958@1642@101068@201580,OTHER,CP VAN,FUSION HEALTHCARE PVT LTD,VANCOMYCIN INJECTION 1000 MG,1,INJECTION,Scheduled,478.44,431.42,431.42,Dec-2025
1521081320@198267@101181958@1642@101068@201580,OTHER,ESTAPH,HETERO HEALTHCARE LTD,VANCOMYCIN INJECTION 1000 MG,1,INJECTION,Scheduled,478.44,436.51,436.51,Dec-2025
1521081320@198267@101181958@1642@101068@201580,OTHER,GUFIVAN,GUFIC BIOSCIENCE LTD,VANCOMYCIN INJECTION 1000 MG,1,INJECTION,Scheduled,478.44,500.00,500.00,Dec-2025
1521081320@198267@101181958@1642@101068@201580,OTHER,VANCOGRAM,ZYDUS HEALTHCARE LTD.,VANCOMYCIN INJECTION 1000 MG,1,INJECTION,Scheduled,478.44,502.36,502.36,Dec-2025
1521081320@198267@101181958@1642@101068@201580,OTHER,MEGO (GUFIC),GUFIC BIOSCIENCE LTD,VANCOMYCIN INJECTION 1000 MG,1,INJECTION,Scheduled,478.44,681.68,681.68,Dec-2025
1521081321@39556@101181958@3755@101068@201580,MAIN,VANTOX CP 500 MG INJECTION 2 ML,SAMARTH LIFE SCIENCES PVT LTD,VANCOMYCIN INJECTION 500 MG,2 ML INJECTION,INJECTION,Scheduled,323.16,338.79,169.40,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,VANACIN CP,CHANDRA BHAGAT PHARMA PVT. LTD.,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,112.50,11.25,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,G VANC,GLAND PHARMA LIMITED,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,272.00,27.20,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,KABIMYCIN,FRESENIUS KABI INDIA PVT LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,272.73,27.27,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,VANCRESIN,AKUMENTIS HEALTHCARE LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,297.44,29.74,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,VANCOTECH CP,UNITED BIOTECH (P) LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,328.00,32.80,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,VANSAFE-CP,VHB LIFE SCIENCES LIMITED,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,332.00,33.20,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,VANKING,NEON LABORATORIES LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,339.00,33.90,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,VANCOGEN,ALKEM LABORATORIES LTD.,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,339.30,33.93,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,VANLID,CIPLA LTD.,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,339.32,33.93,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,VANCOTROY,TROIKAA PHARMACEUTICALS LTD,VANCOMYCIN INJECTION 500 MG,5,INJECTION,Scheduled,323.16,339.19,67.84,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,ESTAPH,HETERO HEALTHCARE LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,260.00,260.00,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,VANCOSA,ZYPHARS PHARMACEUTICS PVT. LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,267.40,267.40,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,LEDOVANC,CELON LABS,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,294.00,294.00,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,VENBRUTA,MANKIND PHARMACEUTICALS LTD.,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,297.44,297.44,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,CP VAN,FUSION HEALTHCARE PVT LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,299.00,299.00,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,VANOGARD,CONCORD BIOTECH LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,333.49,333.49,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,GUFIVAN,GUFIC BIOSCIENCE LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,339.29,339.29,Dec-2025
1521081321@39556@101181958@3755@101068@201580,OTHER,VANCOGRAM,ZYDUS HEALTHCARE LTD.,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,339.31,339.31,Dec-2025
1521097645@346014@101241781@3755@101068@201580,MAIN,VENBRUTA 500 MG INJECTION 1,MANKIND PHARMACEUTICALS LTD.,VANCOMYCIN INJECTION 500 MG,1 INJECTION,INJECTION,Scheduled,323.16,297.44,297.44,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,VANACIN CP,CHANDRA BHAGAT PHARMA PVT. LTD.,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,112.50,11.25,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,G VANC,GLAND PHARMA LIMITED,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,272.00,27.20,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,KABIMYCIN,FRESENIUS KABI INDIA PVT LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,272.73,27.27,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,VANCRESIN,AKUMENTIS HEALTHCARE LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,297.44,29.74,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,VANCOTECH CP,UNITED BIOTECH (P) LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,328.00,32.80,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,VANSAFE-CP,VHB LIFE SCIENCES LIMITED,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,332.00,33.20,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,VANKING,NEON LABORATORIES LTD,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,339.00,33.90,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,VANCOGEN,ALKEM LABORATORIES LTD.,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,339.30,33.93,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,VANLID,CIPLA LTD.,VANCOMYCIN INJECTION 500 MG,10,INJECTION,Scheduled,323.16,339.32,33.93,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,VANCOTROY,TROIKAA PHARMACEUTICALS LTD,VANCOMYCIN INJECTION 500 MG,5,INJECTION,Scheduled,323.16,339.19,67.84,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,VANTOX CP,SAMARTH LIFE SCIENCES PVT LTD,VANCOMYCIN INJECTION 500 MG,2,INJECTION,Scheduled,323.16,338.79,169.40,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,ESTAPH,HETERO HEALTHCARE LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,260.00,260.00,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,VANCOSA,ZYPHARS PHARMACEUTICS PVT. LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,267.40,267.40,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,LEDOVANC,CELON LABS,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,294.00,294.00,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,CP VAN,FUSION HEALTHCARE PVT LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,299.00,299.00,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,VANOGARD,CONCORD BIOTECH LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,333.49,333.49,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,GUFIVAN,GUFIC BIOSCIENCE LTD,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,339.29,339.29,Dec-2025
1521097645@346014@101241781@3755@101068@201580,OTHER,VANCOGRAM,ZYDUS HEALTHCARE LTD.,VANCOMYCIN INJECTION 500 MG,1,INJECTION,Scheduled,323.16,339.31,339.31,Dec-2025
